s1,s2,gs,file,s1_n_words,s2_n_words,s1_n_verbs_tot,s2_n_verbs_tot,s1_n_verbs_pres,s2_n_verbs_pres,s1_n_verbs_past,s2_n_verbs_past,s1_n_nouns,s2_n_nouns,s1_n_adjectives,s2_n_adjectives,s1_n_adverbs,s2_n_adverbs,dif_n_words,dif_n_verbs_tot,dif_n_verbs_pres,dif_n_verbs_past,dif_n_nouns,dif_n_adjectives,dif_n_adverbs,jaccard_all_words,jaccard_verbs,jaccard_nouns,jaccard_adjectives,jaccard_adverbs,all_all_shared_synsets_count,all_all_shared_synsets_ratio,all_all_avg_synset_similarity,all_all_max_synset_similarity,all_verb_shared_synsets_count,all_verb_shared_synsets_ratio,all_verb_avg_synset_similarity,all_verb_max_synset_similarity,all_noun_shared_synsets_count,all_noun_shared_synsets_ratio,all_noun_avg_synset_similarity,all_noun_max_synset_similarity,all_adj_shared_synsets_count,all_adj_shared_synsets_ratio,all_adj_avg_synset_similarity,all_adj_max_synset_similarity,all_adv_shared_synsets_count,all_adv_shared_synsets_ratio,all_adv_avg_synset_similarity,all_adv_max_synset_similarity,best_all_shared_synsets_count,best_all_shared_synsets_ratio,best_all_avg_synset_similarity,best_all_max_synset_similarity,best_verb_shared_synsets_count,best_verb_shared_synsets_ratio,best_verb_avg_synset_similarity,best_verb_max_synset_similarity,best_noun_shared_synsets_count,best_noun_shared_synsets_ratio,best_noun_avg_synset_similarity,best_noun_max_synset_similarity,best_adj_shared_synsets_count,best_adj_shared_synsets_ratio,best_adj_avg_synset_similarity,best_adj_max_synset_similarity,best_adv_shared_synsets_count,best_adv_shared_synsets_ratio,best_adv_avg_synset_similarity,best_adv_max_synset_similarity,lemma_diversity,shared_lemmas_ratio,avg_lemma_similarity,max_lemma_similarity,lemma_jackard_similarity,shared_lemma_count,dice_coefficient,lemma_bigram_overlap,lemma_lcs_length,lemma_edit_distance,proportion_s1_in_s2,proportion_s2_in_s1,lemma_position_similarity
"In Nigeria, Chevron has been accused by the All-Ijaw indigenous people of instigating violence against them and actually paying Nigerian soldiers to shoot protesters at the Warri naval base.","In Nigeria, the whole ijaw indigenous showed Chevron to encourage the violence against them and of up to pay Nigerian soldiers to shoot the demonstrators at the naval base from Warri.",4.2,SMTeuroparl,31,33,6,4,3,0,2,1,8,8,4,4,1,0,-2,2,3,1,0,0,1,0.5263157894736843,0.11111111111111116,0.6,0.6,0.0,79,0.6422764227642277,0.25983024524621706,1.0,35,0.625,0.24895760681296436,1.0,33,0.717391304347826,0.25411185309571205,1.0,3,0.6,0.6,1.0,0,0.0,0.5,0.5,10,0.5263157894736842,0.31141184259768256,1.0,0,0.0,0.23333333333333334,0.3333333333333333,8,0.6153846153846154,0.3003116671769922,1.0,1,1.0,1.0,1.0,0,0.0,0.0,0.0,23,0.43478260869565216,0.25266899154766803,1.0,0.4347826086956522,10,0.6060606060606061,0.10714285714285714,8,11,0.5882352941176471,0.625,0.9235294117647058
I know that in France they have had whole herd slaughter and this does not seem to be the best way forward.,"I know that in France, the principle of slaughter of whole herd has been implemented and that this is not the best way to combat this phenomenon.",4.25,SMTeuroparl,23,29,6,6,3,3,1,2,5,7,2,2,2,1,-6,0,0,-1,-2,0,1,0.5,0.09090909090909094,0.7142857142857143,1.0,0.5,89,0.7416666666666667,0.3910739759116036,1.0,17,0.6538461538461539,0.32256922971208685,1.0,26,0.6666666666666666,0.29365082196493364,1.0,5,0.625,0.5625,1.0,18,0.782608695652174,0.5217391304347826,1.0,7,0.5384615384615384,0.32121066908042706,1.0,0,0.0,0.0,0.0,7,0.5833333333333334,0.32121066908042706,1.0,0,0.0,1.0,1.0,0,0.0,1.0,1.0,13,0.5384615384615384,0.2169214063153457,1.0,0.5384615384615384,7,0.7,0.2,6,6,0.7777777777777778,0.6363636363636364,0.9090909090909092
"Unfortunately, the ultimate objective of a European Constitution would be precisely the opposite, and so, of course, we cannot vote for it.",Unfortunately the final objective of a European Constitution would be exactly the opposite and obviously we cannot approve it.,4.8,SMTeuroparl,28,21,2,2,0,0,0,0,4,3,2,2,4,4,7,0,0,0,1,0,0,0.5925925925925926,0.33333333333333337,0.75,0.33333333333333337,0.33333333333333337,28,0.45161290322580644,0.3489643241838247,1.0,0,0.0,0.21140560828060828,0.3333333333333333,12,0.41379310344827586,0.27928201609771797,1.0,4,0.8,0.6,1.0,5,0.7142857142857143,0.5694444444444444,1.0,6,0.5,0.3909713433386317,1.0,0,0.0,0.0,0.0,4,0.5,0.3437092879109686,1.0,0,0.0,1.0,1.0,2,0.6666666666666666,0.6666666666666666,1.0,14,0.42857142857142855,0.30880125430125427,1.0,0.4285714285714286,6,0.6,0.2,6,4,0.6,0.6,1.0
The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny.,The right for a government to draw aside its constitution arbitrarily is the definition characteristic of a tyranny.,4.8,SMTeuroparl,20,19,3,2,2,1,0,0,5,6,1,0,1,1,1,1,1,0,-1,1,0,0.7,0.25,0.8333333333333334,0.0,1.0,61,0.3885350318471338,0.3036880773429599,1.0,4,0.057971014492753624,0.2589178846999703,1.0,25,0.5102040816326531,0.267888634771757,1.0,6,1.0,0.5833333333333334,1.0,17,1.0,0.5294117647058824,1.0,7,0.6363636363636364,0.3783209230373969,1.0,0,0.0,0.0,0.0,6,0.6666666666666666,0.36721951094877897,1.0,0,0.0,1.0,1.0,1,1.0,1.0,1.0,11,0.6363636363636364,0.30989038396445806,1.0,0.6363636363636364,7,0.7777777777777778,0.23076923076923078,6,4,0.7777777777777778,0.7777777777777778,0.9206349206349207
"The House had also fought, however, for the reduction of the funds available for innovative measures to be offset by means of resources from the flexibility instrument, a demand which is recorded in a declaration on the financial perspective in the Interinstitutional Agreement.","This Parliament has also fought for this reduction in the funds available for innovative actions should be compensated for by the use of the framework of flexibility, defined in a statement on the financial perspective.",4.0,SMTeuroparl,47,37,6,5,1,1,4,3,12,9,4,3,2,1,10,1,0,1,3,1,1,0.4130434782608695,0.2222222222222222,0.23529411764705888,0.75,0.5,33,0.17647058823529413,0.28113681295891063,1.0,10,0.16393442622950818,0.24702404998257457,1.0,16,0.14953271028037382,0.2884228937691201,1.0,2,1.0,0.75,1.0,1,0.2,0.6,1.0,9,0.3333333333333333,0.3606804924724114,1.0,0,0.0,0.0,0.0,5,0.25,0.3408455821211239,1.0,2,1.0,0.75,1.0,1,0.5,0.75,1.0,28,0.32142857142857145,0.2655814506260935,1.0,0.3214285714285714,9,0.4864864864864865,0.16666666666666666,9,12,0.42857142857142855,0.5625,0.9417989417989419
The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny.,The right for a government to dismiss arbitrarily its constitution is the definition of a characteristic tyranny.,4.8,SMTeuroparl,20,18,3,2,2,1,0,0,5,5,1,1,1,1,2,1,1,0,0,0,0,0.5714285714285714,0.25,0.6666666666666667,0.0,1.0,53,0.4491525423728814,0.33163577740828293,1.0,4,0.10256410256410256,0.2697459947459947,1.0,23,0.575,0.2744083653950144,1.0,6,1.0,0.5833333333333334,1.0,11,0.6470588235294118,0.5294117647058824,1.0,6,0.5454545454545454,0.41466145868235654,1.0,0,0.0,0.25,0.25,5,0.625,0.40464533766723065,1.0,0,0.0,1.0,1.0,1,1.0,1.0,1.0,11,0.5454545454545454,0.31356826044326047,1.0,0.5454545454545454,6,0.7058823529411765,0.15384615384615385,6,4,0.6666666666666666,0.75,0.9259259259259259
"After all, it is by no means certain that the proposed definition of equitable price is better than any other, because the various definitions that are currently in use in the Member States are all perfectly satisfactory.","Indeed, it is not absolutely certain that the definition of fair price which is better than another, because the definitions used in the Member States in all amply sufficient.",3.75,SMTeuroparl,40,32,5,3,4,2,1,1,7,7,5,3,3,3,8,2,2,0,0,2,0,0.39534883720930236,0.25,0.5555555555555556,0.1428571428571429,0.0,70,0.5645161290322581,0.34047670129178753,1.0,12,0.48,0.32386242674704213,1.0,34,0.8717948717948718,0.2581087684270294,1.0,5,0.5,0.5446428571428571,1.0,14,0.6086956521739131,0.5208333333333334,1.0,8,0.42105263157894735,0.3730646328131483,1.0,0,0.0,0.0,0.0,6,0.75,0.32157025717555193,1.0,0,0.0,0.5,0.5,1,0.25,0.5833333333333334,1.0,21,0.2857142857142857,0.2867502999645857,1.0,0.2857142857142857,6,0.4444444444444444,0.08,7,9,0.42857142857142855,0.46153846153846156,0.9666666666666668
"One could indeed wish for more and for improvement, but I honestly believe that we have made a good start.","They can in fact wish to more and better, but I think that it is a good start.  ",4.8,SMTeuroparl,22,20,5,2,3,2,1,0,2,2,2,3,2,2,2,3,1,1,0,-1,0,0.24242424242424243,0.0,0.33333333333333337,0.25,0.0,60,0.40540540540540543,0.3510750181067878,1.0,21,0.2441860465116279,0.3196505503323685,1.0,16,0.5714285714285714,0.3288944995552223,1.0,2,1.0,0.75,1.0,2,0.3333333333333333,0.5833333333333334,1.0,3,0.2727272727272727,0.3964607723431253,1.0,0,0.0,0.0,0.0,3,0.375,0.3964607723431253,1.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,13,0.23076923076923078,0.15481902356902355,1.0,0.23076923076923073,3,0.375,0.07692307692307693,3,7,0.3,0.5,0.6666666666666666
"It must genuinely be a centre for coordinating the network of national agencies which, in turn, must activate and coordinate a network of centres of excellence for food safety at the level of the individual regions.","It should be the real coordination of the network of national agencies which, in turn, will speed up and a network of centres of excellence of food at regional level.  ",4.0,SMTeuroparl,39,33,4,2,1,0,0,0,11,9,2,3,1,0,6,2,1,0,2,-1,1,0.5277777777777778,0.19999999999999996,0.6363636363636364,0.25,0.0,92,0.5935483870967742,0.27946107416639204,1.0,35,0.7142857142857143,0.2672500037840947,1.0,45,0.6081081081081081,0.2702403605390906,1.0,5,0.45454545454545453,0.5416666666666666,1.0,0,0.0,0.5,0.5,8,0.42105263157894735,0.325850062913,1.0,0,0.0,0.0,0.0,8,0.5,0.325850062913,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,0.4,0.26544993468070394,1.0,0.4,8,0.5714285714285714,0.25,9,10,0.5,0.6666666666666666,0.8289473684210527
"On my own behalf and on behalf of my colleagues in the Committee on Fisheries, I would ask you, Madam President, to send Parliament' s condolences to the families of the victims and to the local authorities in both Brittany and in Marín, Galicia, from where the majority of the victims came.","Madam President, I would ask you, on behalf of my colleagues in the Committee on Fisheries and in my own name, to send a message of condolence on the part of Parliament to the families of the victims and the local authorities of Brittany as Marín, city of Galicia, where originating from most of the victims.",4.8,SMTeuroparl,59,62,3,3,0,1,1,0,17,20,3,3,0,0,-3,0,-1,1,-3,0,0,0.6382978723404256,0.5,0.6190476190476191,0.5,0.0,57,0.4523809523809524,0.27837507817545676,1.0,15,0.26785714285714285,0.2805747683620675,1.0,39,0.5909090909090909,0.2760246528447927,1.0,3,1.0,0.6666666666666666,1.0,0,0.0,0.0,0.0,16,0.6956521739130435,0.29773957799967976,1.0,2,0.6666666666666666,0.513888888888889,1.0,14,0.7,0.29323646735615455,1.0,0,0.0,1.0,1.0,0,0.0,1.0,1.0,25,0.72,0.22615290853927217,1.0,0.72,18,0.8372093023255814,0.29411764705882354,14,13,0.9,0.782608695652174,0.8819444444444444
"One could indeed wish for more and for improvement, but I honestly believe that we have made a good start.","One can indeed wish more and better, but I believe very honestly that it is a good start.",4.8,SMTeuroparl,22,20,5,3,3,2,1,0,2,1,2,4,2,3,2,2,1,1,1,-2,-1,0.5185185185185186,0.33333333333333337,0.5,0.5,0.6666666666666667,77,0.5877862595419847,0.36443433229302774,1.0,25,0.33783783783783783,0.31080005880005884,1.0,18,0.782608695652174,0.32858502766452613,1.0,2,1.0,0.75,1.0,6,1.0,0.5833333333333334,1.0,7,0.7777777777777778,0.48606040117196303,1.0,1,1.0,1.0,1.0,4,0.6666666666666666,0.4206563180827887,1.0,0,0.0,1.0,1.0,2,1.0,0.75,1.0,11,0.6363636363636364,0.22232919857919858,1.0,0.6363636363636364,7,0.7777777777777778,0.14285714285714285,6,4,0.7,0.875,0.8857142857142858
"He will stand trial on 8 January on charges of having attended a meeting of the Tunisian opposition in France, which he denies.","It passes in lawsuit next on January 8. It is reproached to him for having taken part in a meeting of Tunisian opponents in France, which besides it denies.",4.2,SMTeuroparl,25,31,4,7,2,5,1,2,6,5,1,2,0,0,-6,-3,-3,-1,1,-1,0,0.32432432432432434,0.2222222222222222,0.2222222222222222,0.5,0.0,29,0.1228813559322034,0.2768595483150047,1.0,20,0.14814814814814814,0.2787684711224835,1.0,6,0.06818181818181818,0.26958155097010533,1.0,2,0.6666666666666666,0.6666666666666666,1.0,0,0.0,0.0,0.0,5,0.25,0.2846155351764891,1.0,1,0.5,0.6428571428571428,1.0,4,0.25,0.27737833098092035,1.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,19,0.3157894736842105,0.24726874856744985,1.0,0.3157894736842105,6,0.48,0.045454545454545456,5,9,0.5454545454545454,0.42857142857142855,0.8690476190476191
"Thank you very much, Commissioner.","Thank you very much, Mr Commissioner.",4.5,SMTeuroparl,7,8,0,0,0,0,0,0,2,2,0,1,2,2,-1,0,0,0,0,-1,0,0.875,0.0,1.0,0.0,1.0,10,0.9090909090909091,0.568315344785933,1.0,1,1.0,1.0,1.0,3,0.75,0.43035820388761564,1.0,1,1.0,1.0,1.0,5,1.0,0.6,1.0,3,0.75,0.5242897158863545,1.0,1,1.0,1.0,1.0,2,0.6666666666666666,0.44500466853408027,1.0,0,0.0,1.0,1.0,0,0.0,1.0,1.0,4,0.75,0.35555555555555557,1.0,0.75,3,0.8571428571428571,0.25,3,1,1.0,0.75,0.9166666666666666
